,Page,Country,ORES_predicted_class,Region,Region Population mid-2018 (millions),Population mid-2018 (millions)
18487,Patrick Osakwe,Nigeria,Start,AFRICA,"1,284",195.9
18488,Roland Owie,Nigeria,Stub,AFRICA,"1,284",195.9
18489,Sa'idu Ahmed Alkali,Nigeria,Start,AFRICA,"1,284",195.9
18490,Sahabi Alhaji Yaú,Nigeria,Start,AFRICA,"1,284",195.9
18491,Saidu Kumo,Nigeria,Start,AFRICA,"1,284",195.9
18492,Salisu Matori,Nigeria,Start,AFRICA,"1,284",195.9
18493,Sama’ila Mamman,Nigeria,Start,AFRICA,"1,284",195.9
18494,Satty Davies Gogwim,Nigeria,Start,AFRICA,"1,284",195.9
18495,Silas Janfa,Nigeria,Start,AFRICA,"1,284",195.9
18496,Simeon Oduoye,Nigeria,Start,AFRICA,"1,284",195.9
18497,Simon Ajibola,Nigeria,Start,AFRICA,"1,284",195.9
18498,Sola Akinyede,Nigeria,Start,AFRICA,"1,284",195.9
18499,Sylvanus Ngele,Nigeria,Stub,AFRICA,"1,284",195.9
18500,Sylvester Anyanwu,Nigeria,Start,AFRICA,"1,284",195.9
18501,Sylvester Ayodele Arise,Nigeria,Start,AFRICA,"1,284",195.9
18502,Tawar Umbi Wada,Nigeria,Stub,AFRICA,"1,284",195.9
18503,Tokunbo Afikuyomi,Nigeria,Stub,AFRICA,"1,284",195.9
18504,Tupele-Ebi Diffa,Nigeria,Stub,AFRICA,"1,284",195.9
18505,Udoma Udo Udoma,Nigeria,Start,AFRICA,"1,284",195.9
18506,Umar Usman Dukku,Nigeria,Stub,AFRICA,"1,284",195.9
18507,Umaru Dahiru,Nigeria,Start,AFRICA,"1,284",195.9
18508,Victor Oyofo,Nigeria,Stub,AFRICA,"1,284",195.9
18509,Vincent Obasi Usulor,Nigeria,Stub,AFRICA,"1,284",195.9
18510,Wahab Dosunmu,Nigeria,Stub,AFRICA,"1,284",195.9
18511,Wilson Asinobi Ake,Nigeria,Start,AFRICA,"1,284",195.9
18512,Yushau Anka,Nigeria,Start,AFRICA,"1,284",195.9
18513,Annelie Enochson,Sweden,Start,EUROPE,746,10.2
18514,Berit Jóhannesson,Sweden,Stub,EUROPE,746,10.2
18515,Britt-Marie Danestig,Sweden,Stub,EUROPE,746,10.2
18516,Chatrine Pålsson Ahlgren,Sweden,Stub,EUROPE,746,10.2
18517,Elina Linna,Sweden,Stub,EUROPE,746,10.2
18518,Elisebeht Markström,Sweden,Stub,EUROPE,746,10.2
18519,Gbemisola Ruqayyah Saraki,Nigeria,Start,AFRICA,"1,284",195.9
18520,Gunilla Tjernberg,Sweden,Stub,EUROPE,746,10.2
18521,Helena Hillar Rosenqvist,Sweden,Stub,EUROPE,746,10.2
18522,Helena Höij,Sweden,Stub,EUROPE,746,10.2
18523,Ingegerd Saarinen,Sweden,Stub,EUROPE,746,10.2
18524,Inger Davidson,Sweden,Stub,EUROPE,746,10.2
18525,Ingrid Burman,Sweden,Stub,EUROPE,746,10.2
18526,Joy Emodi,Nigeria,Start,AFRICA,"1,284",195.9
18527,Karin Svensson Smith,Sweden,Stub,EUROPE,746,10.2
18528,Karin Thorborg,Sweden,Stub,EUROPE,746,10.2
18529,Lotta Hedström,Sweden,Stub,EUROPE,746,10.2
18530,Marie Engström,Sweden,Stub,EUROPE,746,10.2
18531,Mona Jönsson,Sweden,Stub,EUROPE,746,10.2
18532,Lisa Huang,Taiwan,C,ASIA,"4,536",23.6
18533,Nkechi Justina Nwaogu,Nigeria,Start,AFRICA,"1,284",195.9
18534,Ragnwi Marcelind,Sweden,Stub,EUROPE,746,10.2
18535,Rosita Runegrund,Sweden,Stub,EUROPE,746,10.2
18536,Siv Holma,Sweden,Stub,EUROPE,746,10.2
18537,Stella Omu,Nigeria,Start,AFRICA,"1,284",195.9
18538,Ulla Hoffmann,Sweden,Stub,EUROPE,746,10.2
18539,Yvonne Ruwaida,Sweden,Stub,EUROPE,746,10.2
18540,Zainab Abdulkadir Kure,Nigeria,Stub,AFRICA,"1,284",195.9
18541,Åsa Domeij,Sweden,Stub,EUROPE,746,10.2
18552,Wang Kemin,China,Start,ASIA,"4,536","1,393.8"
18553,Val Shawcross,United Kingdom,Start,EUROPE,746,66.4
18554,Kōki Ishii,Japan,C,ASIA,"4,536",126.5
18555,Martha Elena Ruiz Sevilla,Nicaragua,Start,LATIN AMERICA AND THE CARIBBEAN,649,6.3
18556,Adele Carles,Australia,Start,OCEANIA,41,24.1
18557,Augusta Aasen,Norway,Start,EUROPE,746,5.3
18558,Elisabeth Aasen,Norway,Stub,EUROPE,746,5.3
18559,Amma Asante (politician),Netherlands,C,EUROPE,746,17.2
18560,Ann-Mari Aasland,Norway,Stub,EUROPE,746,5.3
18561,Olaug Abrahamsen,Norway,Stub,EUROPE,746,5.3
18562,Merete Agerbak-Jensen,Norway,Stub,EUROPE,746,5.3
18563,Aud Alvær,Norway,Stub,EUROPE,746,5.3
18564,Olga Andersen,Norway,Stub,EUROPE,746,5.3
18565,Anna Berentine Anthoni,Norway,Stub,EUROPE,746,5.3
18566,Siri Hall Arnøy,Norway,Stub,EUROPE,746,5.3
18567,Anna Boschek,Austria,Stub,EUROPE,746,8.8
18568,Gabi Burgstaller,Austria,Start,EUROPE,746,8.8
18569,Marina Pendeš,Bosnia-Herzegovina,Start,EUROPE,746,3.5
18570,Mitzura Arghezi,Romania,Stub,EUROPE,746,19.5
18571,Uyunqimg,China,Start,ASIA,"4,536","1,393.8"
18572,Orapin Chaiyakan,Thailand,Stub,ASIA,"4,536",66.2
18573,Kalaya Sophonpanich,Thailand,Stub,ASIA,"4,536",66.2
18574,Sukumol Kunplome,Thailand,Stub,ASIA,"4,536",66.2
18575,Nahathai Thewphaingarm,Thailand,Stub,ASIA,"4,536",66.2
18576,Chou Bun Eng,Cambodia,Start,ASIA,"4,536",16
18577,Ke Sovannaroth,Cambodia,Stub,ASIA,"4,536",16
18578,Norodom Rattana Devi,Cambodia,Stub,ASIA,"4,536",16
18579,Norodom Vichara,Cambodia,Stub,ASIA,"4,536",16
18580,Nin Saphon,Cambodia,Stub,ASIA,"4,536",16
18581,Tioulong Saumura,Cambodia,Start,ASIA,"4,536",16
18582,Som Kimsuor,Cambodia,Stub,ASIA,"4,536",16
18583,Gary Batton,United States,Start,NORTHERN AMERICA,365,328
18584,Fatuma Ibrahim Ali,Kenya,Stub,AFRICA,"1,284",51
18585,Agnes Awuor,Kenya,Stub,AFRICA,"1,284",51
18586,Sadabhau Khot,India,Stub,ASIA,"4,536","1,371.3"
18589,Mohammed bin Khalifa bin Zayed Al Nahyan,United Arab Emirates,Stub,ASIA,"4,536",9.5
18590,Juan José Imbroda,Spain,Stub,EUROPE,746,46.7
18591,José Severo Malabia,Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
18593,José Reyes Baeza Terrazas,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
18594,Toimi Kankaanniemi,Finland,Start,EUROPE,746,5.5
18595,Kazbek Pagiyev,Russia,Start,EUROPE,746,147.3
18596,Juan Agustín Maza,Argentina,Stub,LATIN AMERICA AND THE CARIBBEAN,649,44.5
18597,Tang Fong Har,Singapore,Start,ASIA,"4,536",5.8
18598,Hamo Ohanjanyan,Armenia,Start,ASIA,"4,536",3
18599,Kazungu Kambi,Kenya,Stub,AFRICA,"1,284",51
18600,Dương Quỳnh Hoa,Vietnam,C,ASIA,"4,536",94.7
18601,Hoàng Thị Tuân,Vietnam,Stub,ASIA,"4,536",94.7
18602,Đặng Thị Ngọc Thịnh,Vietnam,Stub,ASIA,"4,536",94.7
18603,Trần Thị Hoa Ry,Vietnam,Stub,ASIA,"4,536",94.7
18604,Nguyễn Thị Thập,Vietnam,Start,ASIA,"4,536",94.7
18605,Eka Zguladze,Ukraine,C,EUROPE,746,42.3
18606,Julien Lahaut,Belgium,C,EUROPE,746,11.4
18607,Ingrīda Ūdre,Latvia,Start,EUROPE,746,1.9
18608,Beatriz Elena Uribe Botero,Colombia,Start,LATIN AMERICA AND THE CARIBBEAN,649,49.8
18609,Jane Ellen Usher,Belize,Start,LATIN AMERICA AND THE CARIBBEAN,649,0.4
18610,Nenadi Usman,Nigeria,Start,AFRICA,"1,284",195.9
18612,Moon Sung-keun,"Korea, South",C,ASIA,"4,536",51.8
18613,Linda Baboolal,Trinidad and Tobago,Start,LATIN AMERICA AND THE CARIBBEAN,649,1.4
18614,Carol Cuffy-Dowlat,Trinidad and Tobago,Stub,LATIN AMERICA AND THE CARIBBEAN,649,1.4
18615,Elma Francois,Trinidad and Tobago,Start,LATIN AMERICA AND THE CARIBBEAN,649,1.4
18616,Mary King (economist),Trinidad and Tobago,Stub,LATIN AMERICA AND THE CARIBBEAN,649,1.4
18617,Hazel Manning,Trinidad and Tobago,Start,LATIN AMERICA AND THE CARIBBEAN,649,1.4
18619,Saryoo Singh,India,Start,ASIA,"4,536","1,371.3"
18620,Ahmad Zaidi Adruce,Malaysia,C,ASIA,"4,536",32.5
18621,Giuseppe Prina,Italy,Start,EUROPE,746,60.6
18622,Panna Kaiser,Bangladesh,Stub,ASIA,"4,536",166.4
18623,Zdzisław Bradel,Poland,Start,EUROPE,746,38.4
18624,Marina Arismendi,Uruguay,Stub,LATIN AMERICA AND THE CARIBBEAN,649,3.5
18625,Susana Dalmás,Uruguay,Stub,LATIN AMERICA AND THE CARIBBEAN,649,3.5
18626,Paulina Luisi,Uruguay,C,LATIN AMERICA AND THE CARIBBEAN,649,3.5
18627,Adriana Peña,Uruguay,Stub,LATIN AMERICA AND THE CARIBBEAN,649,3.5
18628,Diana Saravia Olmos,Uruguay,Stub,LATIN AMERICA AND THE CARIBBEAN,649,3.5
18629,Ana María Vignoli,Uruguay,Stub,LATIN AMERICA AND THE CARIBBEAN,649,3.5
18630,Sebastián Ágreda,Bolivia,Start,LATIN AMERICA AND THE CARIBBEAN,649,11.3
18631,Ivan Hristov Bashev,Bulgaria,Start,EUROPE,746,7
18632,Lyuben Berov,Bulgaria,Stub,EUROPE,746,7
18633,Daniel Mitov,Bulgaria,Stub,EUROPE,746,7
18634,Samuel Santos López,Nicaragua,Start,LATIN AMERICA AND THE CARIBBEAN,649,6.3
18635,Hipólito Unanue,Peru,Start,LATIN AMERICA AND THE CARIBBEAN,649,32.2
18636,Te Puea Herangi,New Zealand,C,OCEANIA,41,4.9
18637,Fraser Russell,South Africa,Start,AFRICA,"1,284",57.7
18638,James Newton (Tasmanian politician),Australia,Stub,OCEANIA,41,24.1
18639,Arthur Moulin,France,Stub,EUROPE,746,65.1
18640,Peter McSkimming,New Zealand,Start,OCEANIA,41,4.9
18641,Hope Strachan,Bahamas,Start,LATIN AMERICA AND THE CARIBBEAN,649,0.4
18642,Ivy Dumont,Bahamas,C,LATIN AMERICA AND THE CARIBBEAN,649,0.4
18643,Jum Jainudin Akbar,Philippines,Start,ASIA,"4,536",107
18644,Brajbir Saran Das,India,Stub,ASIA,"4,536","1,371.3"
18645,P. Uthayakumar,Malaysia,C,ASIA,"4,536",32.5
18646,Axel Troost,Germany,C,EUROPE,746,82.8
18647,Gheorghe Ștefan (politician),Romania,Stub,EUROPE,746,19.5
18648,John Toohey (politician),Australia,Stub,OCEANIA,41,24.1
18649,Ken Nnamani,Nigeria,Start,AFRICA,"1,284",195.9
18650,Abdulrahman Kinana,Tanzania,Stub,AFRICA,"1,284",59.1
18651,Chen Shi-chang,Taiwan,Stub,ASIA,"4,536",23.6
18652,Lajla Pernaska,Albania,Stub,EUROPE,746,2.9
18653,Richard A. Flintrop,United States,Stub,NORTHERN AMERICA,365,328
18654,Gary Howell (Michigan politician),United States,Stub,NORTHERN AMERICA,365,328
18655,Hari Ram (politician),Pakistan,Stub,ASIA,"4,536",200.6
18656,Arie de Graaf,Netherlands,Start,EUROPE,746,17.2
18657,Jumoke Akindele,Nigeria,Start,AFRICA,"1,284",195.9
18658,Keshar Man Rokka,Nepal,Stub,ASIA,"4,536",29.7
18659,Jadwiga Dziubińska,Poland,Stub,EUROPE,746,38.4
18660,Ludwik Abramowicz (1879–1939),Poland,Start,EUROPE,746,38.4
18661,Elsa Rastad Bråten,Norway,Stub,EUROPE,746,5.3
18662,Govhar Bakhshaliyeva,Azerbaijan,Start,ASIA,"4,536",9.9
18663,Hijran Huseynova,Azerbaijan,Start,ASIA,"4,536",9.9
18664,Lala Shevket,Azerbaijan,Start,ASIA,"4,536",9.9
18665,Ayna Sultanova,Azerbaijan,Start,ASIA,"4,536",9.9
18666,Eduardo Alonso Colmenares,Spain,Start,EUROPE,746,46.7
18668,Saida Agrebi,Tunisia,Start,AFRICA,"1,284",11.6
18669,Mabrouka Mbarek,Tunisia,Start,AFRICA,"1,284",11.6
18670,Majdouline Cherni,Tunisia,Start,AFRICA,"1,284",11.6
18671,Sayida Ounissi,Tunisia,C,AFRICA,"1,284",11.6
18672,Selma Elloumi Rekik,Tunisia,Stub,AFRICA,"1,284",11.6
18673,Sonia Toumia,Tunisia,Start,AFRICA,"1,284",11.6
18674,Keshav Prasad Mainali,Nepal,Stub,ASIA,"4,536",29.7
18675,Jawhara Tiss,Tunisia,Start,AFRICA,"1,284",11.6
18676,Karima Souid,Tunisia,Stub,AFRICA,"1,284",11.6
18677,Nagia Essayed,Libya,Stub,AFRICA,"1,284",6.5
18678,Suzanne Vos,South Africa,Stub,AFRICA,"1,284",57.7
18679,José Roberto Magalhães Teixeira,Brazil,Start,LATIN AMERICA AND THE CARIBBEAN,649,209.4
18680,Patrica Ndogu,Nigeria,Stub,AFRICA,"1,284",195.9
18681,Elizabeth Alpha-Lavalie,Sierra Leone,Start,AFRICA,"1,284",7.7
18682,Youkie Foday,Sierra Leone,Stub,AFRICA,"1,284",7.7
18683,Margaret Mwanakatwe,Zambia,Start,AFRICA,"1,284",17.7
18684,Nkandu Luo,Zambia,Start,AFRICA,"1,284",17.7
18685,Susan Nakazwe,Zambia,Start,AFRICA,"1,284",17.7
18686,Catherine Namugala,Zambia,Start,AFRICA,"1,284",17.7
18687,Edith Nawakwi,Zambia,Start,AFRICA,"1,284",17.7
18688,Joyce Nonde-Simukoko,Zambia,Start,AFRICA,"1,284",17.7
18689,Gladys Nyirongo,Zambia,C,AFRICA,"1,284",17.7
18690,Vera Tembo,Zambia,Start,AFRICA,"1,284",17.7
18691,Frank Beaurepaire,Australia,C,OCEANIA,41,24.1
18692,Mélanie Komzo,Congo,Stub,AFRICA,"1,284",5.4
18693,Richard von Kühlmann,Germany,C,EUROPE,746,82.8
18694,Clyde Brown,Canada,Stub,NORTHERN AMERICA,365,37.2
18695,Ariana Campero,Bolivia,Start,LATIN AMERICA AND THE CARIBBEAN,649,11.3
18696,William D. Blanks,United States,Stub,NORTHERN AMERICA,365,328
18697,Jean-Michel Baylet,France,Stub,EUROPE,746,65.1
18698,Lise Østergaard,Denmark,C,EUROPE,746,5.8
18699,H. Dunlop Dawbarn,United States,Start,NORTHERN AMERICA,365,328
18700,Augusta Stang,Norway,Stub,EUROPE,746,5.3
18701,Paul O'Grady (politician),Australia,C,OCEANIA,41,24.1
18702,Franco Debono,Malta,C,EUROPE,746,0.5
18703,Diwan Bhai Abdul Hamid,Pakistan,Stub,ASIA,"4,536",200.6
18704,Arun Singh,India,Start,ASIA,"4,536","1,371.3"
18705,Lin Xu,China,Start,ASIA,"4,536","1,393.8"
18706,Raman Pratap Singh,Fiji,Stub,OCEANIA,41,0.9
18707,Lamyr Nguélé,Congo,C,AFRICA,"1,284",5.4
18708,Lin Cheng-yi (politician),Taiwan,Stub,ASIA,"4,536",23.6
18709,Gu Xiancheng,China,Start,ASIA,"4,536","1,393.8"
18710,Aisha Rateb,Egypt,C,AFRICA,"1,284",97
18711,Political families of Madhya Pradesh,India,Start,ASIA,"4,536","1,371.3"
18712,Roberto Giorgetti,San Marino,Stub,EUROPE,746,0.03
18713,Li Wenke,China,Stub,ASIA,"4,536","1,393.8"
18714,Eubulus (statesman),Greece,Start,EUROPE,746,10.6
18715,Watanabe Kunitake,Japan,C,ASIA,"4,536",126.5
18721,Khadija Ahrari,Afghanistan,Stub,ASIA,"4,536",36.5
18722,Jean-Serge Bokassa,Central African Republic,Start,AFRICA,"1,284",4.7
18723,Grace Tanamal,Netherlands,Stub,EUROPE,746,17.2
18724,António Munguambe,Mozambique,Start,AFRICA,"1,284",30.5
18726,Count Richard Belcredi,Hungary,Start,EUROPE,746,9.8
18727,Grant Gillon,New Zealand,C,OCEANIA,41,4.9
18728,Yang Sifu,China,B,ASIA,"4,536","1,393.8"
18741,Nadezhda Bondarenko,Moldova,Stub,EUROPE,746,3.5
18742,Songyun,China,Stub,ASIA,"4,536","1,393.8"
18743,Chen Hsiu-ching,Taiwan,Stub,ASIA,"4,536",23.6
18744,Puru (artist),China,Start,ASIA,"4,536","1,393.8"
18745,Elżbieta Sieniawska,Poland,GA,EUROPE,746,38.4
18746,Jerzy Nos,Poland,Start,EUROPE,746,38.4
18747,Howell C. Featherston,United States,Stub,NORTHERN AMERICA,365,328
18748,Khin San Yi,Myanmar,Start,ASIA,"4,536",53.9
18749,Adalbert Falk,Germany,Stub,EUROPE,746,82.8
18750,Mile Akmadžić,Bosnia-Herzegovina,Stub,EUROPE,746,3.5
18752,Jukka Mäkelä,Finland,Stub,EUROPE,746,5.5
18753,Kalla Ankourao,Niger,Start,AFRICA,"1,284",22.2
18754,José Ricardo Salazar,Venezuela,Stub,LATIN AMERICA AND THE CARIBBEAN,649,31.8
18755,James M. Priest,Liberia,Stub,AFRICA,"1,284",4.9
18756,Margreeth de Boer,Netherlands,Start,EUROPE,746,17.2
18757,Marja van Bijsterveldt,Netherlands,Start,EUROPE,746,17.2
18758,Ella Vogelaar,Netherlands,Start,EUROPE,746,17.2
18759,Marga Klompé,Netherlands,Start,EUROPE,746,17.2
18760,Irene Vorrink,Netherlands,Start,EUROPE,746,17.2
18761,Jacqueline Cramer,Netherlands,Stub,EUROPE,746,17.2
18762,Mario de Marco,Malta,Start,EUROPE,746,0.5
18764,Alex Bain-Stewart,United Kingdom,Stub,EUROPE,746,66.4
18765,Darshan Singh Kaypee,India,Stub,ASIA,"4,536","1,371.3"
18766,Dominic Christian,United Kingdom,Start,EUROPE,746,66.4
18767,Emma Edhem,United Kingdom,Stub,EUROPE,746,66.4
18768,Jules Simon,France,C,EUROPE,746,65.1
18769,Lajos Szikszai,Hungary,Stub,EUROPE,746,9.8
18770,Pyotr Dmitrievich Sviatopolk-Mirsky,Russia,Start,EUROPE,746,147.3
18771,Lasse Jahnsen,Norway,Stub,EUROPE,746,5.3
18772,Tristán Narvaja,Uruguay,Start,LATIN AMERICA AND THE CARIBBEAN,649,3.5
18773,Abdul Aziz Kurd,Pakistan,Stub,ASIA,"4,536",200.6
18774,Atta Muhammad Marri,Pakistan,Stub,ASIA,"4,536",200.6
18775,Bungal Bugti,Pakistan,Stub,ASIA,"4,536",200.6
18777,Iftikharul Hasan Shah,Pakistan,Stub,ASIA,"4,536",200.6
18778,Nawabzada Syed Shams Haider,Pakistan,Stub,ASIA,"4,536",200.6
18780,Saleem Ullah Khan Niazi Paikhel,Pakistan,Stub,ASIA,"4,536",200.6
18781,Shabbir Hassan Ansari,Pakistan,Stub,ASIA,"4,536",200.6
18782,Yousuf Ayub Khan,Pakistan,Start,ASIA,"4,536",200.6
18783,Zahoor Hussain Khoso,Pakistan,Stub,ASIA,"4,536",200.6
18784,Lateef Adegbite,Nigeria,C,AFRICA,"1,284",195.9
18785,Luiza Zavloschi,Romania,Stub,EUROPE,746,19.5
18786,Wiremu Kerei Nikora,New Zealand,Stub,OCEANIA,41,4.9
18787,Slim Khalbous,Tunisia,Stub,AFRICA,"1,284",11.6
18788,Laura Allende,Chile,Start,LATIN AMERICA AND THE CARIBBEAN,649,18.6
18789,Khachatur Karchikyan,Armenia,Stub,ASIA,"4,536",3
18790,Levon Ghulyan,Armenia,Stub,ASIA,"4,536",3
18791,Christophor Vermishyan,Armenia,Stub,ASIA,"4,536",3
18792,Sahak Torosyan,Armenia,Start,ASIA,"4,536",3
18793,Hovhannes Ter-Mikaelyan,Armenia,Stub,ASIA,"4,536",3
18794,Artashes Babalian,Armenia,Stub,ASIA,"4,536",3
18795,Sargis Araratyan,Armenia,Stub,ASIA,"4,536",3
18796,Hambardzum Terteryan,Armenia,Stub,ASIA,"4,536",3
18797,Laura McLeod-Katjirua,Namibia,Start,AFRICA,"1,284",2.5
18798,Aminul Islam (trade unionist),Bangladesh,Start,ASIA,"4,536",166.4
18799,Laurent Bado,Burkina Faso,Stub,AFRICA,"1,284",20.3
18800,Laurent Sedego,Burkina Faso,Start,AFRICA,"1,284",20.3
18801,Lani Cayetano,Philippines,Start,ASIA,"4,536",107
18802,Laurie Chan,Solomon Islands,Start,OCEANIA,41,0.7
18803,Kimmo Tiilikainen,Finland,Start,EUROPE,746,5.5
18804,Wendel Avisado,Philippines,Stub,ASIA,"4,536",107
18805,List of Fijian politicians,Fiji,B,OCEANIA,41,0.9
18806,Emasi Qovu,Fiji,Start,OCEANIA,41,0.9
18807,Mikhail Burla,Moldova,Start,EUROPE,746,3.5
18808,Samuel George Harmon,Liberia,Stub,AFRICA,"1,284",4.9
18809,Khadra Haji Ismail Geid,Somalia,Stub,AFRICA,"1,284",15.2
18810,Khalif Isse Mudan,Somalia,Stub,AFRICA,"1,284",15.2
18812,Gao Huan,Mongolia,C,ASIA,"4,536",3.2
18813,Antoine Meatchi,Togo,Stub,AFRICA,"1,284",8
18814,Victor Thorn,Luxembourg,Start,EUROPE,746,0.6
18815,Mirjana Marković,Serbia,C,EUROPE,746,7
18817,Laxmi Prasad Pokhrel,Nepal,Stub,ASIA,"4,536",29.7
18818,Manea Mănescu,Romania,Start,EUROPE,746,19.5
18819,Lazare Sèhouéto,Benin,Stub,AFRICA,"1,284",11.5
18820,Lazarus Dokora,Zimbabwe,Stub,AFRICA,"1,284",14
18821,Jack C. K. Teng,Taiwan,C,ASIA,"4,536",23.6
18822,Lucille M. Mair,Jamaica,Start,LATIN AMERICA AND THE CARIBBEAN,649,2.9
18823,Jackson Kiptanui,Kenya,Stub,AFRICA,"1,284",51
18824,Leader of the Independent Members,Solomon Islands,Start,OCEANIA,41,0.7
18825,Parviz C. Raji,Iran,Start,ASIA,"4,536",81.6
18826,Ruth Chinamano,South Africa,Stub,AFRICA,"1,284",57.7
18827,Leandro N. Alem,Argentina,Start,LATIN AMERICA AND THE CARIBBEAN,649,44.5
18828,Ralph Wilcox,United States,C,NORTHERN AMERICA,365,328
18829,Edmond Blanc,France,Stub,EUROPE,746,65.1
18830,Kevin Lembo,United States,Start,NORTHERN AMERICA,365,328
18831,Longworth family,United States,Start,NORTHERN AMERICA,365,328
18832,Jean-Baptiste Lacoste,France,Start,EUROPE,746,65.1
18833,Lee Kyung-jae,Japan,Start,ASIA,"4,536",126.5
18834,Sergio Hugo Sánchez Ballivián,Bolivia,Stub,LATIN AMERICA AND THE CARIBBEAN,649,11.3
18835,Madeleine Ogilvie,Australia,Start,OCEANIA,41,24.1
18836,Dawoud Rajiha,Syria,C,ASIA,"4,536",18.3
18837,Lefter Maliqi,Albania,Stub,EUROPE,746,2.9
18838,Herbert Charles Sanborn,United States,GA,NORTHERN AMERICA,365,328
18839,Gina Godoy,Ecuador,Start,LATIN AMERICA AND THE CARIBBEAN,649,17
18840,Poul Michelsen,Denmark,C,EUROPE,746,5.8
18841,Tassos Papadopoulos,Cyprus,C,ASIA,"4,536",1.2
18842,Nazario Toledo,Costa Rica,Stub,LATIN AMERICA AND THE CARIBBEAN,649,5
18843,José Chlimper Ackerman,Peru,B,LATIN AMERICA AND THE CARIBBEAN,649,32.2
18844,Cuigiya Lianyuan,China,Start,ASIA,"4,536","1,393.8"
18845,Richard Rahilly,Ireland,Stub,EUROPE,746,4.9
18846,Abdelkader Hachani,Algeria,Start,AFRICA,"1,284",42.7
18847,Mohamed Ibrahim Liqliiqato,Somalia,Start,AFRICA,"1,284",15.2
18848,Hussein Kulmiye Afrah,Somalia,Stub,AFRICA,"1,284",15.2
18849,Khaled Al Jarrah Al Sabah,Kuwait,Stub,ASIA,"4,536",4.2
18851,Spring family,Ireland,C,EUROPE,746,4.9
18852,Manny Mori,Federated States of Micronesia,C,OCEANIA,41,0.1
18853,Honoré Mercier,Canada,C,NORTHERN AMERICA,365,37.2
18854,Lempy Lucas,Namibia,Start,AFRICA,"1,284",2.5
18855,Milton Rice Polland,United States,Start,NORTHERN AMERICA,365,328
18856,Oleksandr Zadorozhnii,Ukraine,Stub,EUROPE,746,42.3
18858,Joy Grant,Belize,Start,LATIN AMERICA AND THE CARIBBEAN,649,0.4
18859,Rashidi Kawawa,Tanzania,Stub,AFRICA,"1,284",59.1
18861,Leo Falcam,Federated States of Micronesia,Stub,OCEANIA,41,0.1
18862,Leo Peeters,Belgium,Stub,EUROPE,746,11.4
18863,Obrad Piljak,Bosnia-Herzegovina,Stub,EUROPE,746,3.5
18864,Wu Jin-lin,Taiwan,Stub,ASIA,"4,536",23.6
18865,John Kuan,China,Stub,ASIA,"4,536","1,393.8"
18866,Ted Diro,Papua New Guinea,Start,OCEANIA,41,8.5
18867,George Abela,Malta,C,EUROPE,746,0.5
18869,Elena Udrea,Romania,GA,EUROPE,746,19.5
18870,Hacı Garip Taner,Turkey,Start,ASIA,"4,536",81.3
18871,Leonard Demi,Albania,Stub,EUROPE,746,2.9
18872,Leonard Marchand,Canada,C,NORTHERN AMERICA,365,37.2
18873,Charlotte Hallmark,United States,Stub,NORTHERN AMERICA,365,328
18874,Henry Somerset (British Army officer),United Kingdom,Start,EUROPE,746,66.4
18875,Governors of Hiroshima Prefecture,Japan,Start,ASIA,"4,536",126.5
18876,Leone Azzali,Italy,Stub,EUROPE,746,60.6
18877,Leonida Lari,Moldova,Start,EUROPE,746,3.5
18878,José Ignacio Paliza,Dominican Republic,Start,LATIN AMERICA AND THE CARIBBEAN,649,10.8
18879,Leopoldo Baracco,Italy,Stub,EUROPE,746,60.6
18880,James Carlisle,Antigua and Barbuda,C,LATIN AMERICA AND THE CARIBBEAN,649,0.1
18881,Hans Waldmann (mayor),Switzerland,Start,EUROPE,746,8.5
18882,Jerzy Miller (politician),Poland,Stub,EUROPE,746,38.4
18884,Millicent Aroi,Nauru,Stub,OCEANIA,41,0.01
18885,Sharif Fayez,Afghanistan,Stub,ASIA,"4,536",36.5
18886,Irshad Ahmed Haqqani,Pakistan,Start,ASIA,"4,536",200.6
18887,Veaceslav Negruța,Moldova,Stub,EUROPE,746,3.5
18888,Malouma,Mauritania,FA,AFRICA,"1,284",4.5
18889,Ita David Ikpeme,Nigeria,Start,AFRICA,"1,284",195.9
18890,Toivo Antikainen,Finland,C,EUROPE,746,5.5
18891,Monica Babuc,Moldova,Stub,EUROPE,746,3.5
18892,Delfim Moreira,Brazil,Start,LATIN AMERICA AND THE CARIBBEAN,649,209.4
18893,Zoltán Böszörmény,Hungary,Start,EUROPE,746,9.8
18895,Kuka Parray,India,Stub,ASIA,"4,536","1,371.3"
18896,Władysław Czartoryski,Poland,Start,EUROPE,746,38.4
18897,Leyla Chihuán,Peru,Start,LATIN AMERICA AND THE CARIBBEAN,649,32.2
18898,Richard Canreba Caulker,Sierra Leone,Stub,AFRICA,"1,284",7.7
18899,Todor Petrov,Macedonia,C,EUROPE,746,2.1
18900,Hassan al-Hudaybi,Egypt,C,AFRICA,"1,284",97
18901,Li Deyu,China,B,ASIA,"4,536","1,393.8"
18902,Li Fengji,China,B,ASIA,"4,536","1,393.8"
18903,Søren Tybring,Norway,Stub,EUROPE,746,5.3
18904,Li Shouxin (politician),China,Stub,ASIA,"4,536","1,393.8"
18905,Tiang Sirikhanth,Thailand,Start,ASIA,"4,536",66.2
