,Page,Country,ORES_predicted_class,Region,Region Population mid-2018 (millions),Population mid-2018 (millions)
11846,Lorena Beaurregard,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11847,Lorena Méndez Denis,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11848,Lourdes Alonso Flores,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11849,Lourdes Gallardo Pérez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11850,Lourdes Quiñones Canales,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11851,Lucila Gallegos Camarena,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11852,Lucila Garfias,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11853,Lucía Beristaín,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11854,Lucía Mendoza Morales,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11855,Ludivina Menchaca,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11856,Luz Margarita Alba Contreras,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11857,Luz María Beristain,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11858,Luz Virginia Cortés,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11859,Lydia Madero García,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11860,Magdalena Macedo Domínguez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11861,Magdalena Núñez Monreal,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11862,Marcela Cuen Garibi,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11863,Marcela González Salas,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11864,Marcela Torres Peimbert,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11865,Marcela Vieyra Alamilla,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11866,Marcelina Orta Coronado,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11867,Maret Maripuu,Estonia,Stub,EUROPE,746,1.3
11868,Margarita Arenas Guzmán,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11869,Margarita Cano,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11870,Margarita Curmina Cervera,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11871,Margarita Gallegos Soto,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11872,Margarita Liborio Arrazola,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11873,Margarita Licea González,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11874,Margarita Martínez Bernal,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11875,Margarita Saldaña Hernández,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11876,Margarita Villaescusa Rojo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11877,Mari Lund Arnem,Norway,Stub,EUROPE,746,5.3
11878,Mariana García Rojas,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11879,Maribel Alva Olvera,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11880,Maribel Chollet,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11881,Maricarmen Valls,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11882,Maricela Serrano Hernández,Mexico,Start,LATIN AMERICA AND THE CARIBBEAN,649,130.8
