,page,country,rev_id
792,Old Men Forget,United Kingdom,697897076
793,Satini Manuella,Tuvalu,697908533
794,S. Ganesan,India,698048774
795,"Rhinoceros Party of Canada candidates, 1980 Canadian federal election",Canada,698077739
796,"Salvador Bermúdez de Castro, 2nd Duke of Ripalda",Spain,698093715
797,Rameshwor Phuyal,Nepal,698241676
798,Rishi Kattel,Nepal,698253253
800,Peter Arnold (politician),Australia,698345894
801,Sushila Chaudhary,Nepal,698571611
802,Mahendra Dhoj G.C.,Nepal,698571613
803,Sher Bahadur Tamang,Nepal,698571631
804,Hari Bahadur Khadka,Nepal,698571634
805,Tirtha Bahadur Lama,Nepal,698571661
806,Vishwendraman Pashwan,Nepal,698571662
807,Tuluram Rajbanshi,Nepal,698571672
808,Hari Lal Joshi,Nepal,698571717
809,Arjun Jang Bahadur Singh,Nepal,698571731
810,Prem Lal Singh,Nepal,698571738
811,Sebaki Devi Das Tatma,Nepal,698571745
812,Chandra Bahadur Gurung,Nepal,698571747
813,Krishna Das Shrestha,Nepal,698571748
814,Om Prakash Yadav Gulzari,Nepal,698571750
815,Omprakash Yadav,Nepal,698571758
816,Hari Parajuli,Nepal,698571782
817,Ishwar Dayal Mishra,Nepal,698571785
818,Sher Dhan Rai,Nepal,698571803
819,Bhim Bahadur Tamang,Nepal,698572100
820,Bedanand Jha,Nepal,698572160
821,Mohan Prasad Pandey,Nepal,698572183
822,Shekha Nath Adhikari,Nepal,698572200
823,Dev Raj Joshi,Nepal,698572239
824,Tarinee Datt Chataut,Nepal,698572252
825,Rabindra Nath Sharma,Nepal,698572269
826,Tek Bahadur Chokhyal,Nepal,698572288
827,Dip Kumar Upadhaya (Lamichhane),Nepal,698572291
828,Brijesh Kumar Gupta,Nepal,698572322
829,Harka Bahadur Singh,Nepal,698572326
830,Narayani Datt Chataut,Nepal,698572327
831,Mohammad Estiyak Rai,Nepal,698573619
832,Rameshwor Prasad Dhungel,Nepal,698573648
833,Parbati Chaudhary,Nepal,698573657
834,Ram Hari Subedi,Nepal,698573663
835,Malabar Singh Thapa,Nepal,698573690
836,Yagya Bahadur Basnyat,Nepal,698573707
837,Narayan Singh Pun,Nepal,698573738
838,Ram Ayodhya Prasad Yadav,Nepal,698575586
839,Ramnath Dhakal,Nepal,698575613
840,Sher Bahadur Kunwor,Nepal,698575620
841,Ram Bir Manandhar,Nepal,698575646
842,Radhe Chandra Yadav,Nepal,698575662
843,Til Kumar Menyangbo Limbu,Nepal,698575677
844,Tirtha Ram Dangol,Nepal,698575695
845,Rajendra Kumar KC,Nepal,698575714
846,Lekh Nath Neupane,Nepal,698582041
847,Frank Lark,New Zealand,698635954
848,Dorji Namgyal,Bhutan,698806662
849,Ugyen Tshering,Bhutan,698806682
850,Ibrahim Didi,Maldives,698807297
851,Ibrahim Saleem,Maldives,698807322
852,Mohamed Munavvar,Maldives,698807325
853,Mohamed Zahir Hussain,Maldives,698807337
854,Azima Shukoor,Maldives,698807345
855,Mohamed bin Hajj Ali Thukkala,Maldives,698807371
856,Mahmood Razi,Maldives,698807791
857,"List of members of the Løgting, 1998–2002",Faroese,698865505
858,Kumaraswamy Nandagopan,Sri Lanka,698946168
859,V. Sivayogan,Sri Lanka,698946169
860,P. Ariyaratnam,Sri Lanka,698947539
861,V. Edirmannasingham,Sri Lanka,698947672
862,K. Vignarajah,Sri Lanka,698947841
863,M. Manickam,Sri Lanka,698948097
864,S. R. P. Sraiva,Sri Lanka,698948150
865,Štefan Osuský,Slovakia,698964210
866,Elżbieta Branicka,Poland,699022350
867,S. Pasupathipillai,Sri Lanka,699090098
868,Ananda Kumarasiri,Sri Lanka,699090515
869,Manuel Martin (conquistador),Spain,699093655
870,Thein Tun,Myanmar,699105110
871,Khin Yi,Myanmar,699105313
872,Win Aung,Myanmar,699105350
873,Sao Seng Suk,Myanmar,699105456
874,Maung Oo,Myanmar,699105911
875,Nai Htaw Sorn,Myanmar,699105927
876,Sein Myint,Myanmar,699105952
877,Khin Maung Thein,Myanmar,699105999
878,Kyaw Swa Khaing,Myanmar,699106128
879,Khin San Hlaing,Myanmar,699106152
880,Tin Hlaing,Myanmar,699106649
881,Thein Swe,Myanmar,699106665
882,Mohammad Temim,Morocco,699136209
883,Teodor Szybiłło,Poland,699143672
884,Prapat Panyachatraksa,Thailand,699197059
885,Suwat Liptapanlop,Thailand,699197123
886,Sutham Sangprathum,Thailand,699197323
887,Virachai Virameteekul,Thailand,699197850
888,Theera Wongsamut,Thailand,699198463
889,Kraisak Choonhavan,Thailand,699198744
890,Chob Yodkaew,Thailand,699199094
891,Mönkhchuluuny Zorigt,Mongolia,699217035
892,Nyamjavyn Batbayar,Mongolia,699217197
893,Fritz Hofmann (politician),Switzerland,699244801
894,Mohammad Amjad,Pakistan,699260156
895,Andriy Veselovsky,Ukraine,699336500
896,Ivan Maistrenko,Ukraine,699336835
897,Yury Lutovinov,Russia,699336991
898,Ihor Kharchenko,Ukraine,699337057
899,Mykola Hrabar,Ukraine,699337076
900,Emil Byk,Austria,699337845
901,Ihor Dushyn,Ukraine,699338274
902,Victor Său,Moldova,699338569
903,Vasiliy Pokotilo,Russia,699339086
904,Iuliana Gorea-Costin,Moldova,699339429
905,Alexandru Codreanu,Moldova,699339451
906,Paweł Adamowicz,Poland,699339741
907,Ioan Străjescu,Romania,699339799
908,Alexandru Cantacuzino,Romania,699339851
